Quebra 1 ;Quebra 2 ;Código Natureza Despesa;Descrição Natureza Despesa;Código Categoria;Descrição Categoria;Tipo Empenho;Valor Empenhado Período;Valor Empenhado Acumulado;Valor Estorno;Valor Processado;Valor Anulado;Valor O.P;Valor O.P Baixada Período;Valor O.P Baixada Acumulado;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;12;Locação De Máquinas E Equipamentos;Orçamentário;104145,2;104145,2;0;84877,98;0;84877,98;84877,98;84877,98;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;14;Locação Bens Móveis De Outras Naturezas E Intangíveis;Orçamentário;40140;40140;40140;0;0;0;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;20;Manutenção E Conservação De Bens Móveis De Outras Naturezas;Orçamentário;34500;34500;34500;0;0;0;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;22;Exposições, Congressos E Conferências;Orçamentário;11850;11850;0;11850;0;11850;11850;11850;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;41;Fornecimento De Alimentação;Orçamentário;130000;130000;0;130000;0;130000;130000;130000;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;63;Serviços Gráficos;Orçamentário;45073,7;45073,7;0;7500;0;7500;7500;7500;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;70;Confecção De Uniformes, Bandeiras E Flâmulas;Orçamentário;24055;24055;0;24055;0;24055;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;79;Serviço De Apoio Administrativo, Técnico E Operacional;Orçamentário;197741;197741;33463,1;164277,9;0;164277,9;164277,9;164277,9;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;82;Locação De Veiculos;Orçamentário;498230,77;498230,77;223524,41;238967,07;0;238967,07;238967,07;238967,07;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;99;Outros Serviços De Terceiros -Pessoa Jurídica;Orçamentário;355781,67;355781,67;69723,96;242841,3;4466,8;238374,5;238374,5;238374,5;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;1;Locação De Equipamentos De Tecnologia Da Informação E Comunicação - Tic - Ativos De Rede;Orçamentário;631735,49;631735,49;131233,36;338620,56;0;338620,56;328749,56;328749,56;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;4; Locacao De Equipamentos De Tic - Impressoras;Orçamentário;67499,1;67499,1;509,7;55113;0;55113;49950,6;49950,6;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;22;Instalacao De Equipamentos De Ti ;Orçamentário;12250;12250;0;12250;0;12250;12250;12250;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;99;Outros Servicos De Tic ;Orçamentário;9727178,35;9727178,35;1926146,01;5883251,15;0;5883251,15;5883251,15;5883251,15;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449040;Serviços De Tecnologia Da Informação E Comunicação - Pj ;0;Serviços De Tecnologia Da Informação E Comunicação - Pessoa Jurídica;Orçamentário;60852,6;60852,6;0;0;0;0;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;4;Aparelhos De Medição E Orientação;Orçamentário;59099,25;59099,25;0;0;0;0;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;12;Aparelhos E Utensílios Domésticos;Orçamentário;6075,75;6075,75;0;6075,75;0;6075,75;6075,75;6075,75;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;24;Equipamento De Proteção, Segurança E  Socorro;Orçamentário;149033,52;149033,52;0;149033,52;0;149033,52;0;0;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;30;Máquinas E Equipamentos Energéticos;Orçamentário;38320;38320;0;38320;0;38320;38320;38320;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;33;Equipamentos Para Áudio, Vídeo E Foto;Orçamentário;499226,2;499226,2;242306,8;256919,4;0;256919,4;256919,4;256919,4;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;35;Equipamentos De Processamento De Dados;Orçamentário;1961108,55;1961108,55;75153,5;1810801,55;0;1810801,55;1326754,75;1326754,75;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;42;Mobiliário Em Geral;Orçamentário;61123;61123;0;61123;0;61123;61123;61123;
23-SECRETARIA MUNICIPAL DE INFORMAÇÕES E TECNOLOGIA;-;449052;Equipamentos E Material Permanente;99;Outros Materiais Permanentes;Orçamentário;232032,55;232032,55;50840;181192,55;0;181192,55;181192,55;181192,55;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;319004;Contratação Por Tempo Determinado;11;Salários - Contrato Temporário;Orçamentário;845238,48;845238,48;68973,73;776264,75;0;776264,75;776264,75;776264,75;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;319004;Contratação Por Tempo Determinado;13;13º Salário - Contrato Temporário;Orçamentário;79998;79998;14315,65;65682,35;0;65682,35;65682,35;65682,35;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;884938,96;884938,96;79285,05;805653,91;0;805653,91;805653,91;805653,91;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;43;13º Salário;Orçamentário;93498,68;93498,68;27042,71;66455,97;0;66455,97;66455,97;66455,97;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;44;Férias - Abono Pecuniário;Orçamentário;65480,36;65480,36;42290,23;23190,13;0;23190,13;23190,13;23190,13;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;335041;Contribuições;0;Contribuições;Orçamentário;9053198,25;9053198,25;1511500;3250000;0;3250000;2700000;2700000;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339030;Material De Consumo;1;Combustíveis E Lubrificantes Automotivos;Orçamentário;272948,52;272948,52;0;126714,89;0;126714,89;126714,89;126714,89;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339030;Material De Consumo;22;Material De Limpeza E Higienização;Orçamentário;25594,5;25594,5;0;0;0;0;0;0;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339032;Material De Distribuição Gratuita;99;Outros Materiais De Consumo;Orçamentário;6154423,5;6154423,5;1246320;1133160;0;1133160;1133160;1133160;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339036;Outros Serviços De Terceiros - Pessoa Fisica;15;Locação De Imóveis;Orçamentário;133175,6;133175,6;0;114000;0;114000;114000;114000;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;41;Fornecimento De Alimentação;Orçamentário;240000;240000;0;30672;0;30672;27564;27564;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;77;Vigilância Ostensiva;Orçamentário;374657,12;374657,12;0;127058,75;0;127058,75;127058,75;127058,75;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;82;Locação De Veiculos;Orçamentário;442987,45;442987,45;0;349568,05;0;349568,05;349568,05;349568,05;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;99;Outros Serviços De Terceiros -Pessoa Jurídica;Orçamentário;109000;109000;0;17528;0;17528;17528;17528;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;99;Outros Servicos De Tic ;Orçamentário;21748,8;21748,8;4100;17648,8;0;17648,8;17648,8;17648,8;
24-SECRETARIA MUNICIPAL DE SEGURANÇA ALIMENTAR;-;339047;Obrigações Tributárias E Contributivas;2;Imposto Sobre A Propriedade Predial E Territorial Urbana - Iptu ;Orçamentário;2000;2000;0;1178,45;0;1178,45;1178,45;1178,45;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319004;Contratação Por Tempo Determinado;11;Salários - Contrato Temporário;Orçamentário;9465114,72;9465114,72;699040,94;8766073,78;0;8766073,78;8766073,78;8766073,78;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319004;Contratação Por Tempo Determinado;13;13º Salário - Contrato Temporário;Orçamentário;817834,37;817834,37;79985,95;737848,42;0;737848,42;737848,42;737848,42;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319004;Contratação Por Tempo Determinado;99;Outras Contratações Por Tempo Determinado;Orçamentário;308116,53;308116,53;0;308116,53;0;308116,53;308116,53;308116,53;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;16355835,01;16355835,01;816,45;16355018,56;816,45;16354202,11;16354202,11;16354202,11;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;43;13º Salário;Orçamentário;1421170,6;1421170,6;0;1421170,6;0;1421170,6;1421170,6;1421170,6;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;44;Férias - Abono Pecuniário;Orçamentário;3003202,93;3003202,93;2619853,42;383349,51;0;383349,51;383349,51;383349,51;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;319094;Indenizações E Restituições Trabalhistas;99;Outras Indenizações E Restituições Trabalhistas ;Orçamentário;4982,67;4982,67;0;4982,67;0;4982,67;4982,67;4982,67;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;335043;Subvenções Sociais;0;Subvenções Sociais;Orçamentário;9505851,45;9505851,45;1927512,25;7578339,2;0;7578339,2;7578339,2;7578339,2;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;335043;Subvenções Sociais;6;Instituição De Caráter De Assistência Social;Orçamentário;17625681,8;17625681,8;2866622,65;13455637,66;0;13455637,66;11711347,52;11711347,52;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339014;Diárias - Civil;14;Diárias No Pais;Orçamentário;202160;202160;11930;190230;0;183670;181590;181590;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;4;Gás Engarrafado;Orçamentário;38970;38970;19485;19485;0;19485;19485;19485;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;7;Gêneros De Alimentação;Orçamentário;1341737,74;1341737,74;31924,22;1042966,73;0;1042966,73;1042966,73;1042966,73;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;16;Material De Expediente;Orçamentário;753054,37;753054,37;213082,67;353376,4;0;353376,4;353376,4;353376,4;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;22;Material De Limpeza E Higienização;Orçamentário;436514,76;436514,76;123225,78;224551,69;0;224551,69;224551,69;224551,69;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;23;Uniformes, Tecidos E Aviamentos;Orçamentário;327528;327528;34060;293468;0;293468;293468;293468;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339030;Material De Consumo;99;Outros Materiais De Consumo;Orçamentário;477190,73;477190,73;209662,88;232285,35;0;232285,35;232285,35;232285,35;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339032;Material De Distribuição Gratuita;3;Material Destinado À Assistência Social;Orçamentário;765468,27;765468,27;200000;315125,35;0;315125,35;315125,35;315125,35;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339033;Passagens E Despesas Com Locomoção;1;Passagens Para O País;Orçamentário;827802,6;827802,6;24319,58;639535,73;0;639535,73;517952,06;517952,06;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339036;Outros Serviços De Terceiros - Pessoa Fisica;15;Locação De Imóveis;Orçamentário;2753837,55;2753837,55;92741,66;2425333,1;0;2421627,21;2412942,21;2412942,21;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339037;Locação De Mao-De-Obra;1;Apoio Administrativo, Técnico E Operacional;Orçamentário;3166914,03;3166914,03;1292158,37;1484410,19;0;1484410,19;1484410,19;1484410,19;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339037;Locação De Mao-De-Obra;2;Limpeza E Conservação;Orçamentário;3710515,47;3710515,47;2125572,45;1191489,96;0;1191489,96;979336,73;979336,73;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339037;Locação De Mao-De-Obra;3;Vigilância Ostensiva;Orçamentário;6003335,93;6003335,93;1171797,49;4116454,92;0;4116454,92;4116454,92;4116454,92;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339037;Locação De Mao-De-Obra;99;Outras Locações De Mão-De-Obra;Orçamentário;6191810,29;6191810,29;1242120,33;4476689,96;0;4476689,96;4476689,96;4476689,96;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;5;Serviços Técnicos Profissionais;Orçamentário;57600;57600;21600;36000;0;36000;36000;36000;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;10;Locação De Imóveis;Orçamentário;241479,06;241479,06;41775,06;170693,93;0;170693,93;170693,93;170693,93;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;15;Tributos À Conta Do Locatário;Orçamentário;44333,34;44333,34;0;44333,34;0;44333,34;44333,34;44333,34;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;16;Manutenção E Conservação De Bens Imóveis;Orçamentário;1573940,09;1573940,09;692820,24;881119,85;0;881119,85;722169,1;722169,1;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;17;Manutenção E Conservação De Máquinas E Equipamentos;Orçamentário;153577,6;153577,6;0;37709,03;0;37709,03;37709,03;37709,03;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;41;Fornecimento De Alimentação;Orçamentário;332116;332116;17000;245648;0;245648;245648;245648;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;48;Serviço De Seleção E Treinamento;Orçamentário;136357;136357;15885;104249;0;104249;104249;104249;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;63;Serviços Gráficos;Orçamentário;57388,89;57388,89;0;57388,89;0;57388,89;57388,89;57388,89;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;72;Vale-Transporte;Orçamentário;15000;15000;0;6854,4;0;6854,4;5208;5208;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;78;Limpeza E Conservação;Orçamentário;452852,4;452852,4;3000;413512,37;0;413512,37;372329,16;372329,16;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;82;Locação De Veiculos;Orçamentário;2328357,51;2328357,51;501333,66;1555091,74;0;1555091,74;1359532,71;1359532,71;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;92;Tarifas Bancárias - Pagamento;Orçamentário;15656,44;15656,44;0;9429,26;0;9429,26;2342,28;2342,28;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;98;Tarifas Bancárias - Recebimento;Orçamentário;61000;61000;40593,77;20406,23;28,68;20377,55;20377,55;20377,55;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;99;Outros Serviços De Terceiros -Pessoa Jurídica;Orçamentário;3560313,49;3560313,49;348139,11;2052269;0;2052269;2022728,04;2022728,04;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;2;Locacao De Equipamentos De Tic - Computadores;Orçamentário;849785,63;849785,63;0;701793,08;0;701793,08;349033,95;349033,95;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;4; Locacao De Equipamentos De Tic - Impressoras;Orçamentário;208492,71;208492,71;0;143742,68;0;143742,68;143742,68;143742,68;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339040;Serviços De Tecnologia Da Informação E Comunicação - Pj;99;Outros Servicos De Tic ;Orçamentário;56770,28;56770,28;0;44470,28;0;44470,28;44470,28;44470,28;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339047;Obrigações Tributárias E Contributivas;2;Imposto Sobre A Propriedade Predial E Territorial Urbana - Iptu ;Orçamentário;28873,55;28873,55;0;28873,55;0;28873,55;28873,55;28873,55;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339047;Obrigações Tributárias E Contributivas;15;Multas ;Orçamentário;3653,51;3653,51;0;3653,51;0;3653,51;3653,51;3653,51;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339048;Outros Auxílios Financeiros A Pessoas Fisícas;0;Outros Auxílios Financeiros A Pessoa Física;Orçamentário;1758579;1758579;0;1752507;0;1752507;1752507;1752507;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339048;Outros Auxílios Financeiros A Pessoas Fisícas;99;Demais Auxílios Financeiros A Pessoas Físicas;Orçamentário;241385;241385;0;213785;0;213785;213785;213785;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339092;Despesas De Exercícios Anteriores;15;Outras Despesas Correntes	;Orçamentário;572,68;572,68;0;572,68;0;572,68;572,68;572,68;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339092;Despesas De Exercícios Anteriores;30;Material De Consumo;Orçamentário;24613,63;24613,63;0;24613,63;0;24613,63;24613,63;24613,63;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339092;Despesas De Exercícios Anteriores;36;Outros Serviços De Terceiros - Pessoa Física;Orçamentário;6056,64;6056,64;0;6056,64;0;6056,64;6056,64;6056,64;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;339092;Despesas De Exercícios Anteriores;99;Outras Despesas De Exercícios Anteriores;Orçamentário;41831,6;41831,6;0;41831,6;0;41831,6;41831,6;41831,6;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;449052;Equipamentos E Material Permanente;42;Mobiliário Em Geral;Orçamentário;38474,6;38474,6;0;38474,6;0;38474,6;38474,6;38474,6;
25-SECRETARIA MUNICIPAL DA CRIANÇA E ASSISTÊNCIA SOCIAL;-;449052;Equipamentos E Material Permanente;99;Outros Materiais Permanentes;Orçamentário;182138;182138;0;182138;0;182138;182138;182138;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319004;Contratação Por Tempo Determinado;11;Salários - Contrato Temporário;Orçamentário;455022,66;455022,66;53787,06;401235,6;0;384226,98;384226,98;384226,98;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319004;Contratação Por Tempo Determinado;13;13º Salário - Contrato Temporário;Orçamentário;73193,6;73193,6;37456,72;35736,88;0;35736,88;35736,88;35736,88;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319004;Contratação Por Tempo Determinado;99;Outras Contratações Por Tempo Determinado;Orçamentário;32091,66;32091,66;0;32091,66;0;32091,66;32091,66;32091,66;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;2153557,7;2153557,7;346720,72;1806836,98;0;1734232,27;1734232,27;1734232,27;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;43;13º Salário;Orçamentário;280325,91;280325,91;0;280325,91;0;150361,62;150361,62;150361,62;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;44;Férias - Abono Pecuniário;Orçamentário;45545,66;45545,66;2102,94;43442,72;0;43442,72;43442,72;43442,72;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339014;Diárias - Civil;14;Diárias No Pais;Orçamentário;5740;5740;0;5740;0;5740;5740;5740;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339030;Material De Consumo;7;Gêneros De Alimentação;Orçamentário;12483,66;12483,66;6252,94;6208,42;0;6208,42;6208,42;6208,42;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339030;Material De Consumo;21;Material De Copa E Cozinha;Orçamentário;14725;14725;0;1319,36;0;1319,36;1319,36;1319,36;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339030;Material De Consumo;99;Outros Materiais De Consumo;Orçamentário;20615;20615;0;0;0;0;0;0;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339033;Passagens E Despesas Com Locomoção;1;Passagens Para O País;Orçamentário;30000;30000;0;5975,75;0;5975,75;5975,75;5975,75;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;12;Locação De Máquinas E Equipamentos;Orçamentário;69984,96;69984,96;0;18784,18;0;18784,18;16193,76;16193,76;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;17;Manutenção E Conservação De Máquinas E Equipamentos;Orçamentário;28258,08;28258,08;28258,08;0;0;0;0;0;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;25;Taxa De Administração;Orçamentário;2000;2000;0;2000;0;2000;0;0;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;82;Locação De Veiculos;Orçamentário;290079,84;290079,84;0;191882,66;0;191882,66;184080;184080;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;92;Tarifas Bancárias - Pagamento;Orçamentário;700;700;0;526,08;0;526,08;526,08;526,08;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339039;Outros Serviços De Terceiros -  Pessoa Jurídica;99;Outros Serviços De Terceiros -Pessoa Jurídica;Orçamentário;154345,39;154345,39;19691,74;61849,9;0;61849,9;61849,9;61849,9;
26-SECRETARIA MUNICIPAL DE MEIO AMBIENTE;-;339093;Indenizações E Restituições;2;Restituições;Orçamentário;1136,79;1136,79;0;1136,79;0;1136,79;1136,79;1136,79;
27-SECRETARIA MUNICIPAL DE DESPORTO E LAZER;-;319004;Contratação Por Tempo Determinado;11;Salários - Contrato Temporário;Orçamentário;2636353,96;2636353,96;361902,77;2274451,19;0;2190220,11;2190220,11;2190220,11;
27-SECRETARIA MUNICIPAL DE DESPORTO E LAZER;-;319004;Contratação Por Tempo Determinado;13;13º Salário - Contrato Temporário;Orçamentário;179646,37;179646,37;0;179646,37;0;179646,37;179646,37;179646,37;
27-SECRETARIA MUNICIPAL DE DESPORTO E LAZER;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;1;Vencimentos E Salários;Orçamentário;2239429,87;2239429,87;668117,63;1571312,24;0;1571312,24;1571312,24;1571312,24;
27-SECRETARIA MUNICIPAL DE DESPORTO E LAZER;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;43;13º Salário;Orçamentário;132469,33;132469,33;0;132469,33;0;132469,33;132469,33;132469,33;
27-SECRETARIA MUNICIPAL DE DESPORTO E LAZER;-;319011;Vencimentos E Vantagens Fixas -  Pessoal Civil;44;Férias - Abono Pecuniário;Orçamentário;38479,05;38479,05;0;38479,05;0;38479,05;38479,05;38479,05;
